⛄️央视频道,#genre#
CCTV-3,http://hls.ye23.vip/hls/cctv3hd.m3u8
CCTV-3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4,http://hls.ye23.vip/hls/cctv4hd.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV-5,http://111.29.9.37:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV-5,http://111.29.9.42:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV-5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5,http://hls.ye23.vip/hls/cctv5hd.m3u8
CCTV-5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-5+,http://lu1.cc/c/tv/sjtv/p/migu.php?id=cctv5p
CCTV-6,http://hls.ye23.vip/hls/cctv6hd.m3u8
CCTV-6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV-6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV-7,http://hls.ye23.vip/hls/cctv7hd.m3u8
CCTV-7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV-7,http://39.134.115.163:8080/TVOD/88888910/224/3221225644/index.m3u8
CCTV-8,http://lu1.cc/c/tv/sjtv/p/migu.php?id=cctv8
CCTV-8,http://hls.ye23.vip/hls/cctv8hd.m3u8
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV-8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV-8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV-9,http://hls.ye23.vip/hls/cctv9hd.m3u8
CCTV-9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV-9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV-10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV-10,http://hls.ye23.vip/hls/cctv10hd.m3u8
CCTV-10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV-10,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV-11,http://hls.ye23.vip/hls/cctv11hd.m3u8
CCTV-11,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV-11,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV-12,http://hls.ye23.vip/hls/cctv12hd.m3u8
CCTV-12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV-12,http://39.134.115.163:8080/TVOD/88888910/224/3221225628/index.m3u8
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV-13,http://hls.ye23.vip/hls/cctv13hd.m3u8
CCTV-13,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV-13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8
CCTV-14,http://hls.ye23.vip/hls/cctv14hd.m3u8
CCTV-14,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV-14,http://1.195.111.251:11190/tsfile/live/0014_1.m3u8
CCTV-15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV-15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15,http://60.10.167.88:808/hls/15/index.m3u8
CCTV-15,http://1.195.111.251:11190/tsfile/live/0015_1.m3u8
CCTV-16,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV-16,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226233/index.m3u8
CCTV-16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV-16,http://hls.ye23.vip/hls/cctv16hd.m3u8
CCTV-16,http://39.135.138.58:18890/TVOD/88888910/224/3221226230/index.m3u8
CCTV-16,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV-17,http://hls.ye23.vip/hls/cctv17hd.m3u8
CCTV-17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17,http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8


⚽️体育频道,#genre#

CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV16,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv16/1.m3u8
五星体育,http://60.213.135.147/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://14.205.73.133/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
咪咕频道,http://39.135.134.67/000000001000/3000000001000028638/index.m3u8
咪咕频道,http://39.135.134.67/000000001000/3000000001000008379/index.m3u8
咪咕频道,http://39.135.134.67/000000001000/3000000001000031494/index.m3u8
咪咕频道,http://39.135.134.67/000000001000/3000000001000007218/index.m3u8
咪咕频道,http://39.135.41.243/PLTV/88888888/224/3221226716/index.m3u8

📡卫视频道,#genre#
湖南卫视 ,http://yfsl.vsd.gehua.net.cn/live/HuNanHD_1200.m3u8
湖南卫视 ,http://39.135.138.60:18890/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
东南卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
东方卫视 ,http://yfsl.vsd.gehua.net.cn/live/DongFangHD_1200.m3u8
东方卫视 ,http://183.207.255.197/live/program/live/hddfws/2300000/mnf.m3u8
东方卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225658/index.m3u8
东方卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
北京卫视 ,http://yfsl.vsd.gehua.net.cn/live/BTV1HD_1200.m3u8
北京卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8
北京卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8
深圳卫视 ,http://yfsl.vsd.gehua.net.cn/live/ShenZhenHD_1200.m3u8
深圳卫视 ,http://111.40.196.25/PLTV/88888888/224/3221225537/index.m3u8
深圳卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225741/1653141184-1-1648950460.m3u8
广东卫视 ,http://yfsl.vsd.gehua.net.cn/live/GuangDongHD_1200.m3u8
广东卫视 ,http://39.135.138.60:18890/PLTV/88888910/224/3221225742/index.m3u8
江苏卫视 ,http://183.207.255.197/live/program/live/jswshd/2300000/mnf.m3u8
江苏卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225702/1653110094-1-1651280977.m3u8
江苏卫视 ,http://39.135.138.59:18890/TVOD/88888910/224/3221225702/index.m3u8
江苏卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
浙江卫视 ,http://111.40.196.25/PLTV/88888888/224/3221225510/index.m3u8
浙江卫视 ,http://39.135.138.60:18890/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
江西卫视,http://yfsl.vsd.gehua.net.cn/live/JiangXiHD_6000.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8
江西卫视 ,http://111.40.196.30/PLTV/88888888/224/3221225560/index.m3u8
江西卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225705/1653147474-1-1651284715.m3u8
江西卫视 ,http://39.135.138.59:18890/TVOD/88888910/224/3221225705/index.m3u8
江西卫视 ,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225705/index.m3u8
贵州卫视 ,http://yfsl.vsd.gehua.net.cn/live/GuiZhou_800.m3u8
贵州卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225728/index.m3u8
贵州卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
河北卫视 ,http://yfsl.vsd.gehua.net.cn/live/HeBeiHD_6000.m3u8
河北卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
河北卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225732/index.m3u8
河北卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225610/index.m3u8?fmt=ts2hls
重庆卫视 ,http://yfsl.vsd.gehua.net.cn/live/ChongQingHD_6000.m3u8
重庆卫视 ,http://183.207.255.197/live/program/live/cqws/1300000/mnf.m3u8
重庆卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
重庆卫视 ,http://39.135.138.60:18890/PLTV/88888910/224/3221225692/index.m3u8
重庆卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
重庆卫视 ,http://39.135.138.60:18890/PLTV/88888888/224/3221225734/index.m3u8
安徽卫视 ,http://yfsl.vsd.gehua.net.cn/live/AnHuiHD_6000.m3u8
安徽卫视 ,http://183.207.255.207/live/program/live/ahwshd/2300000/mnf.m3u8
安徽卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225691/1653146382-1-1651284606.m3u8
安徽卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
山东卫视 ,http://yfsl.vsd.gehua.net.cn/live/ShanDongHD_1200.m3u8
山东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225697/index.m3u8
山东卫视 ,http://111.40.196.30/PLTV/88888888/224/3221225543/index.m3u8
山东卫视 ,http://111.40.196.36/PLTV/88888888/224/3221225545/index.m3u8
山东卫视 ,http://39.135.138.60:18890/PLTV/88888888/224/3221225738/index.m3u8
山东卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视 ,http://39.135.138.60:18890/PLTV/88888910/224/3221225738/index.m3u8
山东卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
天津卫视 ,http://yfsl.vsd.gehua.net.cn/live/TianJinHD_1200.m3u8
天津卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
天津卫视 ,http://39.135.138.60:18890/PLTV/88888910/224/3221225739/index.m3u8
天津卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
天津卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225739/1653141888-1-1648950485.m3u8
湖北卫视 ,http://yfsl.vsd.gehua.net.cn/live/HuBeiHD_1200.m3u8
湖北卫视 ,http://111.40.196.30/PLTV/88888888/224/3221225547/index.m3u8
湖北卫视 ,http://222.132.191.125:9901/tsfile/live/0132_1.m3u8
湖北卫视 ,http://39.135.138.60:18890/PLTV/88888910/224/3221225740/index.m3u8
湖北卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225699/1653142328-1-1651284245.m3u8
湖北卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225740/1653142428-1-1648950531.m3u8
湖北卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
吉林卫视,http://yfsl.vsd.gehua.net.cn/live/JiLinWeiShiHD_1200.m3u8
吉林卫视,http://stream1.jlntv.cn/jlws/playlist.m3u8
辽宁卫视 ,http://yfsl.vsd.gehua.net.cn/live/LiaoNingHD_1200.m3u8
辽宁卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
辽宁卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8
甘肃卫视 ,http://yfsl.vsd.gehua.net.cn/live/GanSu_2000.m3u8
甘肃卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8
甘肃卫视 ,http://111.40.196.28/PLTV/88888888/224/3221225639/index.m3u8
黑龙江卫视 ,http://yfsl.vsd.gehua.net.cn/live/HeiLongJiangHD_1200.m3u8
黑龙江卫视 ,http://111.40.196.27/PLTV/88888888/224/3221225544/index.m3u8
黑龙江卫视 ,http://39.135.138.60:18890/PLTV/88888888/224/3221225736/index.m3u8
黑龙江卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
黑龙江卫视 ,http://39.135.138.59:18890/TVOD/88888910/224/3221225690/index.m3u8
黑龙江卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225736/1653146257-1-1648950924.m3u8
厦门卫视 ,http://yfsl.vsd.gehua.net.cn/live/XiaMen_2000.m3u8
龙江卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u8
海南卫视 ,http://111.40.196.35/PLTV/88888888/224/3221225623/index.m3u8
海南卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
延边卫视 ,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
延边卫视 ,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视 ,http://live.ybtvyun.com/video/s10006-90fe76c52091/index.m3u8
延边卫视 ,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
延边TV ,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
兵团卫视 ,http://111.40.196.31/PLTV/88888888/224/3221225637/index.m3u8
安多卫视 ,http://stream.qhbtv.com/adws/sd/live.m3u8
安多卫视 ,http://111.40.196.28/PLTV/88888888/224/3221225666/index.m3u8
安多卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226195/index.m3u8
康巴卫视 ,http://111.40.196.38/PLTV/88888888/224/3221225648/index.m3u8
西藏卫视 ,http://117.169.120.140:8080/live/xizangstv/.m3u8
西藏卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视 ,http://39.135.138.58:18890/PLTV/88888888/224/3221225723/index.m3u8
西藏卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225725/index.m3u8
青海卫视 ,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视 ,http://yfsl.vsd.gehua.net.cn/live/QingHai_800.m3u8
青海卫视 ,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
青海卫视 ,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484
青海卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225727/index.m3u8
青海卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
青海卫视 ,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578
宁夏卫视 ,http://yfsl.vsd.gehua.net.cn/live/NingXia_800.m3u8
宁夏卫视 ,http://111.40.196.29/PLTV/88888888/224/3221225641/index.m3u8
宁夏卫视 ,http://111.40.196.31/PLTV/88888888/224/3221225530/index.m3u8
宁夏卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225726/index.m3u8
内蒙古卫视 ,http://yfsl.vsd.gehua.net.cn/live/NeiMengGu_800.m3u8
内蒙古卫视 ,http://111.40.196.39/PLTV/88888888/224/3221225574/index.m3u8
内蒙古卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225667/index.m3u8
云南卫视 ,http://yfsl.vsd.gehua.net.cn/live/YunNan_2000.m3u8
云南卫视 ,http://111.40.196.36/PLTV/88888888/224/3221225635/index.m3u8
云南卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
云南卫视 ,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
广西卫视 ,http://yfsl.vsd.gehua.net.cn/live/GuangXi_800.m3u8
广西卫视 ,http://111.40.196.35/PLTV/88888888/224/3221225518/index.m3u8
广西卫视 ,http://111.59.63.32:9901/tsfile/live/1003_1.m3u8
广西卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
广西卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225731/index.m3u8
陕西卫视 ,http://yfsl.vsd.gehua.net.cn/live/ShannXi_2000.m3u8
陕西卫视 ,http://111.40.196.34/PLTV/88888888/224/3221225582/index.m3u8
陕西卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8
陕西卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
陕西卫视 ,http://39.135.138.58:18890/PLTV/88888910/224/3221225729/1653148833-1-1648951214.m3u8
陕西卫视 ,http://61.164.158.23:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
陕西卫视 ,http://122.228.87.30:843/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
山西卫视 ,http://yfsl.vsd.gehua.net.cn/live/ShanXi_800.m3u8
山西卫视 ,http://liveflash.sxrtv.com/live/sxwshd.m3u8
山西卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
山西卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225549/index.m3u8?fmt=ts2hls
山西卫视 ,http://liveflash.sxrtv.com:80/live/sxwshd.m3u8
西安影视 ,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
西安影视 ,http://stream2.xiancity.cn/xatv4/playlist.m3u8
河南卫视 ,http://yfsl.vsd.gehua.net.cn/live/HeNanHD_6000.m3u8
四川卫视 ,http://yfsl.vsd.gehua.net.cn/live/SiChuanHD_6000.m3u8
四川卫视 ,http://111.40.196.34/PLTV/88888888/224/3221225562/index.m3u8
江苏卫视 ,http://yfsl.vsd.gehua.net.cn/live/JiangSuHD_1200.m3u8
江苏卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225488/index.m3u8?fmt=ts2hls
江苏卫视 ,http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8
江苏卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
浙江卫视 ,http://yfsl.vsd.gehua.net.cn/live/ZheJiangHD_1200.m3u8
浙江卫视 ,http://111.40.196.25/PLTV/88888888/224/3221225523/index.m3u8
浙江卫视 ,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8
之江记录 ,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
北京纪实 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225675/index.m3u8
北京纪实 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225676/index.m3u8
上海纪实 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225654/index.m3u8
上海纪实 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225655/index.m3u8
纯享4K  ,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8

🇨🇳港. 澳. 台,#genre#
凤凰中文 ,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文 ,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰电影 ,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
凤凰香港 ,http://gxfrg007.8800.org:8282/tsfile/live/1065_1.m3u8
香港卫视 ,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视 ,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
TVB无线新闻 ,http://120.84.96.55:808/hls/85/index.m3u8
TVB无线财经 ,http://120.84.96.62:808/hls/86/index.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
TVBRICS,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
TVB翡翠,http://nsszds.f3322.net:808/hls/67/index.m3u8
TVB功夫,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
TVB无线财经,http://120.84.96.55:808/hls/86/index.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
天映经典,http://120.84.96.62:808/hls/85/index.m3u8
天映频道,http://51.79.82.208:16024
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
